2026-01-26T00:41:23.385+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-13, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-01-26T00:41:23.385+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-13, groupId=quora-app] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-26T00:41:23.526+05:30  INFO 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#1-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-18, groupId=quora-app] Node -1 disconnected.
2026-01-26T00:41:23.526+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#1-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-18, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-01-26T00:41:23.526+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#1-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-18, groupId=quora-app] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-26T00:41:23.590+05:30  INFO 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#5-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-12, groupId=quora-app] Node -1 disconnected.
2026-01-26T00:41:23.590+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#5-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-12, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-01-26T00:41:23.590+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#5-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-12, groupId=quora-app] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-26T00:41:23.622+05:30  INFO 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#0-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-14, groupId=quora-app] Node -1 disconnected.
2026-01-26T00:41:23.622+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#0-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-14, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-01-26T00:41:23.622+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#0-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-14, groupId=quora-app] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-26T00:41:23.637+05:30  INFO 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-1, groupId=quora-app] Node -1 disconnected.
2026-01-26T00:41:23.637+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-1, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-01-26T00:41:23.637+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-1, groupId=quora-app] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-26T00:41:23.652+05:30  INFO 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-3, groupId=quora-app] Node -1 disconnected.
2026-01-26T00:41:23.652+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-3, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-01-26T00:41:23.652+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-2-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-3, groupId=quora-app] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-26T00:41:23.684+05:30  INFO 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-2, groupId=quora-app] Node -1 disconnected.
2026-01-26T00:41:23.684+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-2, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-01-26T00:41:23.684+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#2-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-2, groupId=quora-app] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-26T00:41:23.700+05:30  INFO 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#4-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-8, groupId=quora-app] Node -1 disconnected.
2026-01-26T00:41:23.700+05:30  WARN 20468 --- [QuoraApplication] [org.springframework.kafka.KafkaListenerEndpointContainer#4-1-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-quora-app-8, groupId=quora-app] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
